query,forum_topics_url
JAINSTUDIO,https://mmb.moneycontrol.com/forum-topics/stocks/jain-studios-89210.html
JAYSREETEA,https://mmb.moneycontrol.com/forum-topics/stocks/jayshree-tea-27021.html
JBCHEPHARM,https://mmb.moneycontrol.com/forum-topics/stocks/jb-chemicals-10881.html
JINDALSTEL,https://mmb.moneycontrol.com/forum-topics/stocks/jindal-steel-43561.html
JKLAKSHMI,https://mmb.moneycontrol.com/forum-topics/stocks/jk-lakshmi-cem-246251.html
JKTYRE,https://mmb.moneycontrol.com/forum-topics/stocks/jk-tyre--ind-8382.html
JPIND,https://mmb.moneycontrol.com/forum-topics/stocks/jaiprakash-ind-157977.html
JYOTISTRUC,https://mmb.moneycontrol.com/forum-topics/stocks/jyoti-structure-21101.html
KAJARIACER,https://mmb.moneycontrol.com/forum-topics/stocks/kajaria-ceramic-58681.html
KARURVYSYA,https://mmb.moneycontrol.com/forum-topics/stocks/karur-vysya-5782.html
KESORAMIND,https://mmb.moneycontrol.com/forum-topics/stocks/kesoram-10064.html
KINETICENG,https://mmb.moneycontrol.com/forum-topics/stocks/kinetic-eng-15702.html
KIRLOSIND,https://mmb.moneycontrol.com/forum-topics/stocks/kirloskar-ind-8801.html
KITPLYIND,https://mmb.moneycontrol.com/forum-topics/stocks/kitply-ind-42821.html
KOPRAN,https://mmb.moneycontrol.com/forum-topics/stocks/kopran-11441.html
KOTAKMAH,https://mmb.moneycontrol.com/forum-topics/stocks/kotak-mahindra-3441.html
KOTHARIPRO,https://mmb.moneycontrol.com/forum-topics/stocks/kothari-product-73730.html
KRONECOMM,https://mmb.moneycontrol.com/forum-topics/stocks/adc-india-comm-14901.html
KSBPUMPS,https://mmb.moneycontrol.com/forum-topics/stocks/ksb-pumps-36821.html
KTKBANK,https://mmb.moneycontrol.com/forum-topics/stocks/karnataka-bank-8242.html
LAKSHAUTO,https://mmb.moneycontrol.com/forum-topics/stocks/lakshmi-auto-56784.html
LAKSHVILAS,https://mmb.moneycontrol.com/forum-topics/stocks/lakshmi-vilas-4663.html
LAXMIMACH,https://mmb.moneycontrol.com/forum-topics/stocks/lmw-17003.html
LICHSGFIN,https://mmb.moneycontrol.com/forum-topics/stocks/lic-housing-fin-884.html
LML,https://mmb.moneycontrol.com/forum-topics/stocks/lml-8982.html
LT,https://mmb.moneycontrol.com/forum-topics/stocks/larsen-4721.html
LUMAXIND,https://mmb.moneycontrol.com/forum-topics/stocks/lumax-inds-14001.html
M&M,https://mmb.moneycontrol.com/forum-topics/stocks/mm-4662.html
MAARSOFTW,https://mmb.moneycontrol.com/forum-topics/stocks/maars-software-882.html
MADRASCEM,https://mmb.moneycontrol.com/forum-topics/stocks/ramco-cements-28661.html
MAHINDUGIN,https://mmb.moneycontrol.com/forum-topics/stocks/mahindra-ugine-177258.html
MAHSCOOTER,https://mmb.moneycontrol.com/forum-topics/stocks/mah-scooters-10123.html
MAHSEAMLES,https://mmb.moneycontrol.com/forum-topics/stocks/mah-seamless-16941.html
MARALOVER,https://mmb.moneycontrol.com/forum-topics/stocks/maral-overseas-10124.html
MASCOT,https://mmb.moneycontrol.com/forum-topics/stocks/igate-solutions-61541.html
MASTEK,https://mmb.moneycontrol.com/forum-topics/stocks/mastek-3461.html
MAX,https://mmb.moneycontrol.com/forum-topics/stocks/max-healthcare-511544.html
MICO,https://mmb.moneycontrol.com/forum-topics/stocks/bosch-16361.html
MID-DAY,https://mmb.moneycontrol.com/forum-topics/stocks/next-mediaworks-4822.html
MIRCELECTR,https://mmb.moneycontrol.com/forum-topics/stocks/mirc-electronic-23327.html
MODIRUBBER,https://mmb.moneycontrol.com/forum-topics/stocks/modi-rubber-244203.html
MONSANTO,https://mmb.moneycontrol.com/forum-topics/stocks/monsanto-india-12661.html
MOREPENLAB,https://mmb.moneycontrol.com/forum-topics/stocks/morepen-lab-615.html
MOSERBAER,https://mmb.moneycontrol.com/forum-topics/stocks/moser-baer-1082.html
MRF,https://mmb.moneycontrol.com/forum-topics/stocks/mrf-44661.html
